pandora_topic_id,topic_term,cnt
TP:135621,football,5588
TP:97359,ESPN,1315
TP:97406,FOX News,1241
TP:97355,British Broadcasting Corporation,1208
TP:28137,News Brief,1189
TP:83298,New York Knicks,1142
TP:28138,Political Commentary,1083
TP:28078,NBA,1079
TP:83662,San Antonio Spurs,993
TP:175829,iHeartPodcasts,980
TP:28771,Donald Trump,894
TP:82462,Jeff Lewis (SiriusXM Host),868
TP:72156,Victoria Osteen,772
TP:32024,Joel Osteen,772
TP:29133,Los Angeles Sports,750
TP:28074,pop culture,749
TP:97370,TODAY Show,738
TP:107516,Metallica,700
TP:28279,MLB,697
TP:28331,soccer,697
TP:97365,National Public Radio,696
TP:97363,NBC News,688
TP:123118,Victor Wembanyama,622
TP:138870,NBA Playoffs,616
TP:105961,Tom Petty,615
TP:108554,Tom Petty & The Heartbreakers,613
TP:29131,New York Sports,602
TP:63075,Alan Hunter (VJ),584
TP:40484,Mark Goodman (SiriusXM Host),583
TP:146855,NBA Finals,569
TP:39049,Cleveland Cavaliers,564
TP:28292,NFL,562
TP:83599,Oklahoma City Thunder,560
TP:97349,CNN,558
TP:97407,FOX Sports,550
TP:106089,Grateful Dead,541
TP:28299,NHL,537
TP:97357,Bloomberg Radio,532
TP:2023026,2026 Iran War,525
TP:31062,Dave Ramsey,509
TP:28057,Comedian Interviews,508
TP:28515,fantasy football,506
TP:135611,basketball,505
TP:109939,Conan O'Brien,491
TP:28294,golf,473
TP:116248,Sona Movsesian,467
TP:86628,FIFA World Cup,457
TP:29188,Comedy Talk & Opinion,449
TP:28081,true crime,437
TP:28317,Sports Talk,436
TP:122386,artificial intelligence,433
TP:28290,fantasy sports,431
TP:140207,stand-up comedy,428
TP:28307,personal finance,421
TP:38432,Matt Gourley,417
TP:111518,Alan Walker,416
TP:69038,Keith Costigan,411
TP:39063,trucking industry,407
TP:69119,Downtown Julie Brown,404
TP:28092,Catholic culture,402
TP:103523,Eric Wynalda,398
TP:28318,Stock Markets,398
TP:63144,Nina Blackwood,394
TP:139339,United States men's national soccer team,393
TP:33005,Al Roker,390
TP:29132,Chicago Sports,389
TP:28284,college sports,378
TP:46448,Justin Bell,373
TP:28091,Bible Study,368
TP:83287,New York Yankees,366
TP:31861,Jalen Brunson,358
TP:83288,Vegas Golden Knights,357
TP:137665,concerts,352
TP:112973,The Beatles,351
TP:116054,Tommy Smyth,349
TP:28517,NASCAR,341
TP:106710,Carrie Underwood,338
TP:28297,health,333
TP:82035,college football,330
TP:106653,Phish,329
TP:83381,Carolina Hurricanes,329
TP:83396,Los Angeles Dodgers,325
TP:109238,Dave Koz,320
TP:28097,reality television,314
TP:144536,sabermetrics,314
TP:39057,Pittsburgh Steelers,311
TP:32838,Megyn Kelly,305
TP:97354,C-SPAN,302
TP:107962,Steven Van Zandt,301
TP:48935,Mike Stanton (left-handed pitcher),300
TP:43078,Jim Bowden,299
TP:28098,Reality TV Stars,298
TP:85768,Andy Cohen,298
TP:103161,Julie James (SiriusXM Host),296
TP:116021,Bully Ray,295
TP:38973,New York Giants (football),292
TP:31550,Shai Gilgeous-Alexander,292
TP:103152,Caity Babs (SiriusXM Host),292
TP:103188,Jason Davis (SiriusXM Host),291
TP:139042,Stanley Cup Playoffs,290
TP:28133,advice,289
TP:38958,Los Angeles Rams,289
TP:33038,Hoda Kotb,286
TP:144741,ABC News,284
TP:109291,Elvis Presley,280
TP:83283,Montreal Canadiens,278
TP:103092,Sheinelle Jones,278
TP:42015,Keir Starmer,277
TP:106560,Ranger Doug,277
TP:31233,Jenna Bush Hager,277
TP:28472,Formula 1,276
TP:28283,business news,275
TP:108438,Seth Rudetsky,274
TP:83402,Chicago Cubs,273
TP:118553,PGA Tour,269
TP:33306,Shannon Sharpe,265
TP:83301,New York Mets,264
TP:29196,Denver Sports,263
TP:28293,ghosts,261
TP:39037,Summer House (series),260
TP:33069,Nancy Grace,259
TP:29283,The Bachelor (franchise),259
TP:103132,Rich Davis (SiriusXM Host),259
TP:83382,Philadelphia Phillies,258
TP:83285,Atlanta Braves,257
TP:83405,Detroit Pistons,255
TP:111805,Dave Matthews Band,255
TP:111801,Dwight Yoakam,252
TP:86622,Arsenal F.C.,252
TP:83280,New England Patriots,250
TP:83307,Toronto Blue Jays,250
TP:69633,Ben Hartsock,249
TP:29010,World News,249
TP:106511,Bruce Springsteen,248
TP:103172,Tom Rennie (broadcaster),248
TP:39050,Los Angeles Lakers,248
TP:157204,US Immigration and Customs Enforcement,244
TP:48077,Dylan Dreyer,243
TP:109984,Steve Harvey,242
TP:28258,Boston Sports,241
TP:83403,Minnesota Timberwolves,240
TP:31792,Savannah Guthrie,239
TP:103282,Mikey Piff (SiriusXM Host),237
TP:103377,Chris Medland (SiriusXM Host),236
TP:103378,Jon Massengale (SiriusXM Host),236
TP:43477,Craig Melvin,236
TP:112922,U2,235
TP:54936,Amy Robach,234
TP:103173,Brian Dunseth,234
TP:121140,Bravo,233
TP:108111,Pearl Jam,232
TP:83318,Philadelphia Eagles,231
TP:34869,Tommy Dreamer,231
TP:103250,Jose Mangin (SiriusXM Host),230
TP:28075,celebrity interviews,230
TP:119072,Jack Collins (sports journalist),229
TP:103151,Pete Pistone,229
TP:113032,MarySue Twohy,228
TP:32048,Paul Finebaum,228
TP:28278,auto racing,227
TP:28134,relationships,223
TP:270503,2026 United States elections,222
TP:105066,Steve Covino,222
TP:103222,Glenn Crooks (SiriusXM Host),220
TP:83312,San Diego Padres,220
TP:85369,Southeastern Conference,219
TP:83379,Milwaukee Brewers,219
TP:50322,T. J. Holmes,218
TP:103131,Robert Aubry Davis,210
TP:83293,Detroit Tigers,208
TP:109121,Dave Matthews,207
TP:50051,Adrian Heath,206
TP:103111,Dave Moody,206
TP:28067,sleep,205
TP:33109,Mark Henry,205
TP:31359,Howard Stern,205
TP:41275,Frank Isola,204
TP:28060,Musica y Entretenimiento,202
TP:116031,Jeff Joyce (SiriusXM Host),202
TP:103269,Spyder Harrison,201
TP:154809,Nashville Superspeedway,200
TP:110428,Tom Morello,200
TP:138862,PGA Championship,199
TP:83378,Colorado Avalanche,198
TP:33149,Brian Scalabrine,198
TP:38956,Green Bay Packers,198
TP:103298,Jim Memolo (SiriusXM Host),198
TP:107170,will.i.am,198
TP:59477,Kevin Kennedy (baseball),197
TP:28071,Christian culture,195
TP:177108,trucking issues,194
TP:83391,Minnesota Twins,193
TP:31637,Sean Hannity,192
TP:83295,New York Jets,191
TP:29009,Supreme Court,191
TP:30996,Hip Hop History,191
TP:38737,Kyle Busch,190
TP:103406,John Hill,189
TP:41584,Ryan Sampson (SiriusXM Host),189
TP:106334,Frank Sinatra,189
TP:110043,Too Short,189
TP:112329,Diplo,188
TP:83410,Ottawa Senators,188
TP:32460,Dan Patrick,188
TP:29198,Pittsburgh Sports,187
TP:108007,Eric Church,187
TP:103352,Dave LaGreca,187
TP:103232,Charlie Stillitano,187
TP:97358,Comedy Central,186
TP:47936,Sam Roberts (SiriusXM Host),186
TP:35517,Elvis Duran,186
TP:47561,Tony Meola,186
TP:83305,Arizona Diamondbacks,186
TP:83317,Minnesota Vikings,186
TP:105045,Ania Hammar,185
TP:103897,Dave McCarthy (SiriusXM host),185
TP:103265,Nicole Ryan,185
TP:136186,Roman Reigns,183
TP:60506,Rodney Marsh,183
TP:83292,Seattle Seahawks,182
TP:69776,Jacob Hester,181
TP:108892,John Mayer,180
TP:86642,Manchester City F.C.,180
TP:103348,Swaggy Sie (SiriusXM Host),180
TP:86400,Martha Quinn,179
TP:33326,Stephen A. Smith,179
TP:103648,Kristine Stone (SiriusXM Host),179
TP:111224,Tommy London,179
TP:110939,Bob Marley,177
TP:124767,Tom Rennie (DEPRECATED),177
TP:103341,JT The Brick (SiriusXM Host),177
TP:38961,Kansas City Chiefs,176
TP:208588,Oba Femi,175
TP:189903,Unwell Network,175
TP:91312,classic radio,174
TP:83291,Seattle Mariners,173
TP:33274,Laura Schlessinger,173
TP:103340,Tom Byrne (SiriusXM Host),173
TP:103137,Julia Cunningham,172
TP:29190,Black Voices in Comedy,172
TP:29156,Morning Talk Shows,172
TP:40996,Eddie Johnson (SiriusXM Host),172
TP:105052,Shannon Gunz,172
TP:116114,Janusz Michallik,172
TP:44375,David Gans,171
TP:105057,Mark Strigl (SiriusXM Host),170
TP:83414,Cincinnati Reds,170
TP:83395,Pittsburgh Pirates,169
TP:53992,Jacob Fatu,169
TP:87787,Big Ten,169
TP:180365,fuel costs,169
TP:140309,college softball,168
TP:83407,Chicago White Sox,168
TP:119725,Denise Salcedo,167
TP:139299,comedy,167
TP:103267,Stanley T. Evans,166
TP:103228,Alan Seslowsky (SiriusXM Host),165
TP:70576,Chris Doering,165
TP:40499,Steve Sax,165
TP:28306,parenting,164
TP:31339,Scottie Scheffler,164
TP:83286,Tampa Bay Rays,164
TP:122845,NASCAR Cup Series,163
TP:104173,Rachel Steele (SiriusXM Host),163
TP:39079,Cleveland Browns,163
TP:120717,Jonathan Hood,162
TP:111607,Lisa Loeb,161
TP:32072,Greg Olsen (American football),161
TP:92486,A. J. Brown,161
TP:104030,Carson Daly,161
TP:204677,Evan Real,160
TP:119711,Robert Brender,160
TP:34656,Greg Gutfeld,160
TP:259399,Danny Murphy (podcaster),160
TP:116215,Chris Childers (SiriusXM Host),159
TP:28263,fantasy baseball,159
TP:28077,college basketball,159
TP:219042,MS NOW,159
TP:36197,James Robinson (running back),158
TP:83397,Houston Astros,158
TP:67132,Gunther,158
TP:30988,entertainment news,158
TP:236829,Bloomberg News,158
TP:103107,Dave Dwyer,158
TP:130301,Justin LaBar,157
TP:124690,Lostboycrow,157
TP:36516,Chris Harrison,156
TP:83294,Detroit Lions,155
TP:107568,Ned Luberecki,155
TP:111958,Trace Adkins,154
TP:110997,Dan + Shay,154
TP:148557,Stanley Cup Final,154
TP:83376,St. Louis Cardinals,154
TP:118456,Justin Termine,154
TP:103156,Chris Cantalini (SiriusXM Host),154
TP:28382,dating,153
TP:37248,Shane Douglas,153
TP:112090,LL Cool J,152
TP:119058,midterm elections,152
TP:28072,Weekly Services & Sermons,152
TP:124617,Morning Mash Up,152
TP:117250,Sha-Rock,151
TP:218086,Chris Jones (radio),151
TP:83271,Arizona Cardinals,151
TP:108491,Grandmaster Caz,151
TP:29151,comedians,151
TP:145522,Charlotte Motor Speedway,150
TP:103810,Karen Moskow,150
TP:103434,Jon Weiner,150
TP:110171,Mark O'Connor,150
TP:28310,Pro Wrestling,150
TP:139308,crimes,150
TP:32801,Terry Gross,149
TP:150282,Robin Dreeke,148
TP:41031,Trevor May,148
TP:150281,Tony Brueski,148
TP:149493,Page Six,148
TP:103913,Brad Gillie,148
TP:83409,Boston Red Sox,148
TP:83408,Washington Nationals,147
TP:33020,Michael Smerconish,147
TP:85771,Atlantic Coast Conference,147
TP:120714,Joey Black (SiriusXM Host),147
TP:53146,Robin Quivers,147
TP:135818,Rachel Leviss,147
TP:110198,Big Jay Oakerson,146
TP:144054,US politics,146
TP:110906,Mickie James,146
TP:107781,Danielle Peck,146
TP:142461,summer,145
TP:83289,San Francisco Giants,145
TP:118899,Brendon de Jonge,144
TP:241746,Vicky Sparks,143
TP:109988,Kevin Hart,143
TP:138904,Dover Motor Speedway,143
TP:116222,Marc Benecke (SiriusXM Host),143
TP:143742,gerrymandering,143
TP:116477,Alex Cooper,142
TP:31837,Cody Rhodes,142
TP:143536,Tyler Terens (SXM host),142
TP:34871,Lester Holt,142
TP:140380,tariffs,142
TP:31619,Mike Florio,141
TP:31417,Stephen Colbert,141
TP:103673,Carol Massar,140
TP:103674,Tim Stenovec,140
TP:28888,LeBron James,140
TP:38983,Washington Commanders,140
TP:102876,Buzz Brainard,140
TP:110070,Kid Rock,140
TP:83315,Athletics (baseball),140
TP:31717,Charlie Kirk,139
TP:110537,Robert Kelly (comedian),139
TP:35738,"Chris ""Mad Dog"" Russo",139
TP:117820,Michael F. Florio,139
TP:28482,Painting,138
TP:142368,redistricting,138
TP:63052,Richard Blade (SiriusXM Host),138
TP:35831,Danny Higginbotham,137
TP:28309,political satire,137
TP:2016540,MeidasTouch,137
TP:28295,LGBTQIA+,137
TP:270334,Pope Leo XIV,137
TP:119466,Danielle Trotta,137
TP:86562,Chelsea F.C.,136
TP:34060,Don Was,136
TP:241747,Liza Fromer,136
TP:139537,college baseball,136
TP:271630,NFL schedule release,136
TP:38781,Scott Van Pelt,136
TP:29115,Hip-Hop Culture,136
TP:103656,Scott Wapner,136
TP:136052,AEW,135
TP:38976,Chicago Bears,135
TP:56802,Los Angeles Angels,135
TP:31038,Brock Lesnar,135
TP:112243,Pitbull,135
TP:29281,true crime history,135
TP:103211,Madison (SiriusXM Host),135
TP:83399,Cleveland Guardians,135
TP:70420,Kevin Frandsen,134
TP:41860,Eddie Trunk (SiriusXM Host),134
TP:62796,Ray Hudson,134
TP:38960,San Francisco 49ers,134
TP:112885,SVZ (duplicate),133
TP:118325,Jamison Scala,133
TP:45835,Spencer Pratt,133
TP:48547,Larry McReynolds,133
TP:154257,Brett Meiselas,132
TP:152755,Ben Meiselas,132
TP:117835,Todd Zola (SiriusXM Host),132
null,Artificial Intelligence,131
TP:83279,Baltimore Orioles,131
TP:116363,Ryan Spilborghs,131
TP:50621,Stephen J. Dubner,130
TP:108042,Jake Owen,130
TP:103373,Jeff Erickson (SiriusXM Host),130
TP:74450,immigration,129
TP:116409,C. J. Nitkowski,129
TP:29019,Ufology,129
TP:37629,Sean Hayes,129
TP:31496,Jim Cramer,128
TP:32799,Angela Yee,128
TP:33695,Ken Coleman,128
TP:31068,Myles Garrett,127
TP:36647,Jason Bateman,127
TP:260987,Ciara Miller,127
TP:103237,Jeff Ratcliffe (SiriusXM Host),127
TP:122835,fraud,127
TP:71013,Bill Flanagan,127
TP:45486,Brad Lidge,126
TP:124925,Greg Maroney,126
TP:103226,Steve Kouleas,126
TP:34631,Will Arnett,126
TP:45213,Mark Dominik,126
TP:191119,John Solomon (political commentator),125
TP:103677,Paul Sweeney (news anchor),125
TP:83601,Kansas City Royals,124
TP:113781,Steven Kapp Perry (radio host),124
TP:112865,Bon Jovi,124
TP:69612,Carl Paulson,124
TP:71010,Peter Asher,124
TP:39047,Philadelphia 76ers,123
TP:120753,Kyle Cantrell (SiriusXM Host),123
TP:83388,Miami Marlins,123
TP:97352,CBS Sports,123
TP:83274,Miami Dolphins,123
TP:103666,Tom Keene (radio host),123
TP:28792,James Harden,123
TP:103667,Jonathan Ferro (news anchor),123
TP:43918,Fred Norris,123
TP:28930,Donovan Mitchell,123
TP:103264,Jeff Mans (SiriusXM Host),123
TP:103668,Lisa Abramowicz,123
TP:112886,Jonathan Davis,123
TP:83595,Texas Rangers (baseball),122
TP:103198,Amin Elhassan,122
TP:149438,Michigan International Speedway,122
TP:105044,Mack (SiriusXM Host),122
TP:71109,Heather B. Gardner (SiriusXM Host),122
TP:103299,Jensen Lewis,121
TP:48468,Gary Williams,121
TP:83304,Dallas Cowboys,121
TP:117830,Gary Lambert (SiriusXM Host),121
TP:2013617,Graham Platner,121
TP:38987,Boston Celtics,119
TP:117836,John McKechnie (SiriusXM Host),119
TP:116041,Jason Sobel,118
TP:259404,West Wilson,118
TP:38940,Buffalo Bills,118
TP:154256,Jordy Meiselas,118
TP:156840,Kyle Cooke,118
TP:133159,Chris Jones,118
TP:69718,Mike Bagley,118
TP:117044,Doug Budin,117
TP:245888,TC Cannon,117
TP:33654,Jim Rome,117
TP:58302,Anthony Herron,117
TP:42944,Dan Le Batard,116
TP:110744,Kenny Chesney,116
TP:103408,Lurie Daniel Favors,116
TP:105047,Keith Roth (SiriusXM Host),116
TP:117838,Joe Bartel (SiriusXM Host),116
TP:44776,Gary Dell'Abate,116
TP:142553,new music,116
TP:117839,Mario Puig (SiriusXM Host),116
TP:83276,Baltimore Ravens,116
TP:117840,Peter Schoenke,116
TP:107889,Taylor Swift,115
TP:117837,Clay Link,115
TP:127718,Mitch Marine,115
TP:140747,trucking culture,115
TP:110084,Madonna,115
TP:103371,Real Talk Raph (SiriusXM Host),115
TP:71748,Cody Decker,115
TP:103146,Chantel McCabe (SiriusXM Host),115
TP:28477,daily fantasy sports,115
TP:38393,Jesse Watters,115
TP:117908,Bill Lekas,114
TP:109229,Charlamagne Tha God,114
TP:140803,MAGA,114
TP:83401,New York Rangers,114
TP:103220,Janet Alvarez (SiriusXM Host),113
TP:32747,Ken Paxton,113
TP:136749,A. J. Ramos,113
TP:103143,Chris Spatola (SiriusXM Host),113
TP:103154,Justin Gage (SiriusXM Host),113
TP:28427,WWE,113
TP:53733,Bobby Carpenter (American football),113
TP:139491,music,112
TP:107866,Scott Engel,112
TP:31635,Steve Bannon,112
TP:117821,Josh Hayes (SiriusXM Host),112
TP:35594,Rory McIlroy,112
TP:113148,Robbie Leslie,112
TP:103370,Anthony Aniano (SiriusXM Host),112
TP:34812,Young Thug,112
TP:112509,Dan Abrams,111
TP:103915,Shane Malloy (SiriusXM Host),111
TP:103213,Arlene Bynon,111
TP:150321,John Middlekauff,111
TP:39830,Antonio Daniels,111
TP:102845,Chris Gimenez,111
TP:161051,ADP rankings,111
TP:28895,Aaron Rodgers,111
TP:36377,Jack Posobiec,111
TP:28296,mental health,110
TP:38080,"Mike Brown (basketball, born 1970)",110
TP:103242,Earle Bailey (SiriusXM Host),110
TP:122927,Cody Alan,110
TP:83398,New York Islanders,110
TP:144014,economy,110
TP:116962,Jonathan Schwartz (SiriusXM Host),110
TP:106748,Larry The Cable Guy,109
TP:103229,Fred 'Bugsy' Buggs (SiriusXM Host),109
TP:107491,Tommy James,109
TP:259436,Ian Mohr,109
TP:83290,Buffalo Sabres,109
TP:110404,Jeff Ament,109
TP:124924,Nedski & Mojo,109
TP:28142,Tech News,108
TP:124512,Mack & Jen,108
TP:86616,Paris Saint-Germain F.C.,108
TP:103236,Dion Deezy (SiriusXM Host),108
TP:152573,Amanda Batula,108
TP:219885,Steve Feinberg,108
TP:148167,Memorial Tournament,108
TP:86617,Liverpool F.C.,108
TP:53903,Sam Mitchell (basketball),107
TP:41395,Karen Hunter,107
TP:2014994,Alex Ferrario,106
null,Justin Morneau,106
TP:31925,Brigham Young,106
TP:40267,Alexis Madrigal,106
TP:118564,David Aardsma,106
TP:118324,Matt Schick,106
TP:144084,trucking accidents,105
TP:106900,Eddie Vedder,105
TP:110313,Sebastian Maniscalco,105
TP:83277,Tampa Bay Buccaneers,105
TP:35184,Dana Perino,105
TP:122644,birthdays,105
TP:113484,Rob Sharkey,105
TP:31344,Chris Jones (American football),104
TP:149842,John Delony,104
TP:147025,WNYC Studios,104
TP:2014993,Brandon Kiley,104
TP:116088,Wes Durham,104
