pandora_topic_id,topic_term,cnt
TP:2023026,2026 Iran War,522
TP:2030504,Gavin Shulman,98
TP:2022663,David Gass (sportscaster),94
TP:2027596,The Real Housewives of Rhode Island (series),81
TP:2030433,Anti-Weaponization Fund,76
TP:2029521,Aronimink Golf Club,70
TP:2022564,Peter Kash,62
TP:2022701,Doug Tooke,61
TP:2021803,Alan Spector,60
TP:2029991,Alberta Separatism,50
TP:2024882,Raoul Juneja,49
TP:2021203,Violet Grohl,39
TP:2028707,AAA Lucha Libre,35
TP:2028323,Germany men's national football team,34
TP:2021379,Zak Shellabarger,31
TP:2021798,Doyle Jackson,31
TP:2021378,Greg Peterson,30
TP:2030113,Rand Getlin,28
TP:2029933,Sofia The First,28
TP:2028551,In The City (series),27
TP:2022931,John MacDonald,27
TP:2024886,south asian music,26
TP:2030134,Krissy Downey,26
TP:2021720,Alex Freeman (soccer),25
TP:2022338,Andrew Bogusch,24
TP:2028312,Paraguay men's national football team,21
TP:2021406,Karen Tso,20
TP:2023389,Mikel Brown Jr.,20
TP:2021423,Pete Blackburn,20
TP:2029462,Lizzy Rain (wrestler),20
TP:2021407,Julianna Tatelbaum,20
TP:2030977,Julie Van de Kamp,19
TP:2030644,Lucci Vee,19
TP:2030643,Paloma Starr,19
TP:2022926,Mark Jobe,19
TP:2028202,Artemis II,19
TP:2029345,2026 White House Correspondents' Dinner shooting,19
TP:2030645,DS Shin,19
TP:2024256,Rick Ucchino,19
TP:2029516,GENER8ION,18
TP:2029384,Brendan Sorsby,18
TP:2028321,Senegal men's national football team,18
TP:2022239,Rod Arquette,18
TP:2029779,KJ Dillard,17
TP:2029079,The Devil Wears Prada 2,17
TP:2030979,Alex English (comedian),17
TP:2022032,Zaria (wrestler),17
TP:2030108,Mason Rook (wrestler),17
TP:2025191,Isaac Gutierrez,16
TP:2021507,Darryn Peterson,16
TP:2030550,Brigitte Calls Me Baby,16
TP:2030896,Aaron Dujovne,16
TP:2028480,Adele Bertei,16
TP:2030081,Jessica Scarcella-Spanton,16
TP:2030623,John Ippolito (priest),16
TP:2030622,Joseph Haas (priest),16
TP:2030148,Barry Walters,16
TP:2031228,Meghan Sullivan,15
TP:2030379,Sabrina Gunnell,15
TP:2030381,David LiPuma,15
TP:2028322,Belgium men's national football team,15
TP:2022963,Omar Cooper Jr.,15
TP:2021397,Shanna Gray,15
TP:2029832,Gary Brode,15
TP:2030106,Charlane Oliver,15
TP:2030347,Calvin Beisner,14
TP:2031009,Lothar Matthaus,14
TP:2026159,Warren Ballentine,14
TP:2030375,J.T. Ginn,14
TP:2024085,Jadarian Price,14
TP:2030010,Freight Fraud Symposium,13
TP:2031122,autobiography,13
TP:2030167,cost of living,13
TP:2031121,re-wilding,13
TP:2031120,Gina Chick,13
TP:2022483,Darius Acuff Jr.,13
TP:2030410,Kam Hendrix,13
TP:2030973,Marlene Byrne,13
TP:2030432,slush fund,13
TP:2030752,BUILD America 250 Act,13
TP:2030974,John Cuddeback,13
TP:2021409,Kieran Steckley,13
TP:2030453,Andy Greene (music journalist),13
TP:2029075,Alondra Garcia,12
TP:2030816,Ajahnis Charley,12
TP:2030042,Julia Konefal,12
TP:2030111,Mark Machtolf,12
TP:2030193,Joe Kaufman,12
TP:2030817,Mike Poliwoda,12
TP:2030230,Randy Nichols,12
TP:2030716,Mischa Oak,12
TP:2030934,heat pump,12
TP:2030935,Dylan Reibling,12
TP:2024794,Zavier Gozo,12
TP:2030819,Sameera Sullivan,12
TP:2030575,George Gruhn,12
TP:2030715,Chantel Chapman,12
TP:2030112,Jordan Bischel,12
TP:2030231,Tamara Weber,12
TP:2030828,Rip Micheals,12
TP:2030714,Carol Willes,12
